GeneID	Symbol	description
100755051	Rps8	ribosomal protein S8
100755052	LOC100755052	selenoprotein W pseudogene
100755053	Nrf1	nuclear respiratory factor 1
100755055	Ttl	tubulin tyrosine ligase
100755056	LOC100755056	acyl-coenzyme A synthetase ACSM4, mitochondrial
100755057	Dnaja4	DnaJ heat shock protein family (Hsp40) member A4
100755058	LOC100755058	40S ribosomal protein S15a pseudogene
100755059	LOC100755059	up-regulator of cell proliferation pseudogene
100755060	Il5	interleukin 5
100755061	LOC100755061	swi5-dependent recombination DNA repair protein 1 homolog
100755062	Alg9	ALG9, alpha-1,2-mannosyltransferase
100755063	Lhfpl2	LHFPL tetraspan subfamily member 2
100755064	LOC100755064	collagen alpha-3(VI) chain-like
100755065	LOC100755065	mitochondrial thiamine pyrophosphate carrier pseudogene
100755066	Mvb12a	multivesicular body subunit 12A
100755067	Tmem38a	transmembrane protein 38A
100755068	Smco3	single-pass membrane protein with coiled-coil domains 3
100755069	LOC100755069	GSK-3-binding protein FRAT2-like
100755070	Mrpl45	mitochondrial ribosomal protein L45
100755071	Mboat4	membrane bound O-acyltransferase domain containing 4
100755072	Tll1	tolloid like 1
100755073	Cxadr	CXADR, Ig-like cell adhesion molecule
100755074	LOC100755074	torsin-1A-interacting protein 2
100755076	Cacna2d4	calcium voltage-gated channel auxiliary subunit alpha2delta 4
100755077	Sema3f	semaphorin 3F
100755078	Col6a1	collagen type VI alpha 1 chain
100755080	LOC100755080	receptor of activated protein C kinase 1 pseudogene
100755081	LOC100755081	40S ribosomal protein S19 pseudogene
100755083	Hivep3	human immunodeficiency virus type I enhancer binding protein 3
100755086	Snip1	Smad nuclear interacting protein 1
100755087	Ttll9	tubulin tyrosine ligase like 9
100755088	Midn	midnolin
100755089	Mlh3	mutL homolog 3
100755090	LOC100755090	nucleoporin Nup43 pseudogene
100755091	Lama5	laminin subunit alpha 5
100755092	Ooep	oocyte expressed protein
100755093	Rtkn2	rhotekin 2
100755094	LOC100755094	PCNA-associated factor pseudogene
100755096	LOC100755096	serine/arginine-rich splicing factor 3 pseudogene
100755097	LOC100755097	olfactory receptor 10H2
100755098	Sox6	SRY-box 6
100755099	Pithd1	PITH domain containing 1
100755100	Tbc1d4	TBC1 domain family member 4
100755101	LOC100755101	triosephosphate isomerase pseudogene
100755102	Kbtbd3	kelch repeat and BTB domain containing 3
100755103	Acvr2b	activin A receptor type 2B
100755104	CUNH11orf97	chromosome unknown C11orf97 homolog
100755105	Gaa	glucosidase alpha, acid
100755106	Foxj1	forkhead box J1
100755107	LOC100755107	polyadenylate-binding protein 4 pseudogene
100755108	LOC100755108	carbonyl reductase [NADPH] 1 pseudogene
100755109	Pif1	PIF1 5'-to-3' DNA helicase
100755110	Mpp1	membrane palmitoylated protein 1
100755111	LOC100755111	thymidylate synthase pseudogene
100755112	Cyhr1	cysteine and histidine rich 1
100755113	Gabra4	gamma-aminobutyric acid type A receptor alpha4 subunit
100755114	Cdc42ep3	CDC42 effector protein 3
100755115	LOC100755115	ribosome biogenesis protein NSA2 homolog pseudogene
100755116	Hpgd	15-hydroxyprostaglandin dehydrogenase
100755117	Rnase12	ribonuclease A family member 12 (inactive)
100755118	Plag1	PLAG1 zinc finger
100755119	LOC100755119	vomeronasal type-2 receptor 116
100755120	Chid1	chitinase domain containing 1
100755121	Rnaset2	ribonuclease T2
100755122	Entpd8	ectonucleoside triphosphate diphosphohydrolase 8
100755123	LOC100755123	DNA-directed RNA polymerases I, II, and III subunit RPABC5
100755124	LOC100755124	melanoma-associated antigen 10-like
100755125	Znf668	zinc finger protein 668
100755126	Lnx1	ligand of numb-protein X 1
100755127	LOC100755127	zinc finger protein 58-like
100755128	LOC100755128	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
100755130	LOC100755130	olfactory receptor 5B12
100755131	LOC100755131	poly [ADP-ribose] polymerase 14-like
100755132	LOC100755132	olfactory receptor 10A5
100755133	Alpk1	alpha kinase 1
100755134	LOC100755134	ribosomal RNA-processing protein 7 homolog A pseudogene
100755135	Znf469	zinc finger protein 469
100755136	LOC100755136	putative protein FAM47D
100755137	Sh3bgr	SH3 domain binding glutamate rich protein
100755138	Dnajb3	DnaJ heat shock protein family (Hsp40) member B3
100755139	Enosf1	enolase superfamily member 1
100755140	LOC100755140	Krueppel-like factor 10 pseudogene
100755141	Arntl	aryl hydrocarbon receptor nuclear translocator like
100755142	Mmp10	matrix metallopeptidase 10
100755143	LOC100755143	CCR4-NOT transcription complex subunit 2
100755144	Shank3	SH3 and multiple ankyrin repeat domains 3
100755145	Suv39h2	suppressor of variegation 3-9 homolog 2
100755146	Ccdc15	coiled-coil domain containing 15
100755147	Bscl2	BSCL2, seipin lipid droplet biogenesis associated
100755148	LOC100755148	cyclin-G1 pseudogene
100755149	Camk1	calcium/calmodulin dependent protein kinase I
100755150	LOC100755150	olfactory receptor 10AD1
100755151	Tspan10	tetraspanin 10
100755152	Ncoa1	nuclear receptor coactivator 1
100755154	Acot7	acyl-CoA thioesterase 7
100755155	Kiaa1549l	KIAA1549 like
100755156	Slc9c2	solute carrier family 9 member C2 (putative)
100755157	LOC100755157	adrenodoxin-like
100755158	LOC100755158	olfactory receptor 10T2
100755159	Map1a	microtubule associated protein 1A
100755160	LOC100755160	vomeronasal type-1 receptor 4-like
100755161	Chn1	chimerin 1
100755162	LOC100755162	acyl-coenzyme A synthetase ACSM5, mitochondrial
100755163	LOC100755163	PHD finger protein 20-like protein 1
100755164	Rspo3	R-spondin 3
100755165	Tnp1	transition protein 1
100755168	Itih6	inter-alpha-trypsin inhibitor heavy chain family member 6
100755170	Cdk18	cyclin dependent kinase 18
100755171	LOC100755171	taste receptor type 2 member 129-like
100755172	LOC100755172	40S ribosomal protein S9 pseudogene
100755173	LOC100755173	coiled-coil domain-containing protein 94
100755174	LOC100755174	granzyme-like protein 2
100755175	Ydjc	YdjC chitooligosaccharide deacetylase homolog
100755176	Pdcl3	phosducin like 3
100755177	Rnf10	ring finger protein 10
100755178	Ska2	spindle and kinetochore associated complex subunit 2
100755179	Aldob	aldolase, fructose-bisphosphate B
100755180	Slc4a1	solute carrier family 4 member 1 (Diego blood group)
100755181	Msmp	microseminoprotein, prostate associated
100755182	Ogn	osteoglycin
100755183	LOC100755183	eukaryotic translation initiation factor 1 pseudogene
100755185	LOC100755185	tubulin beta-4B chain pseudogene
100755186	Pgk2	phosphoglycerate kinase 2
100755187	Atp6v1e1	ATPase H+ transporting V1 subunit E1
100755188	LOC100755188	olfactory receptor 1002
100755189	Txndc17	thioredoxin domain containing 17
100755190	Bbs12	Bardet-Biedl syndrome 12
100755192	LOC100755192	H-2 class I histocompatibility antigen, Q10 alpha chain-like
100755193	LOC100755193	olfactory receptor 18-like
100755194	LOC100755194	polyhomeotic-like protein 2 pseudogene
100755195	Gfm2	G elongation factor mitochondrial 2
100755196	LOC100755196	eukaryotic translation initiation factor 5A-1-like
100755197	Dpysl3	dihydropyrimidinase like 3
100755198	Lrch2	leucine rich repeats and calponin homology domain containing 2
100755199	LOC100755199	chromosome unknown open reading frame, human C12orf71
100755200	Sec14l2	SEC14 like lipid binding 2
100755201	Neto2	neuropilin and tolloid like 2
100755202	Psph	phosphoserine phosphatase
100755203	Ppp6r2	protein phosphatase 6 regulatory subunit 2
100755204	Slc35f4	solute carrier family 35 member F4
100755205	Qprt	quinolinate phosphoribosyltransferase
100755206	LOC100755206	thioredoxin domain-containing protein 17 pseudogene
100755207	LOC100755207	cytochrome c oxidase subunit 8A, mitochondrial
100755208	Pus10	pseudouridylate synthase 10
100755209	Gapvd1	GTPase activating protein and VPS9 domains 1
100755211	Treml1	triggering receptor expressed on myeloid cells like 1
100755212	Abhd2	abhydrolase domain containing 2
100755213	LOC100755213	solute carrier family 22 member 21
100755214	LOC100755214	calcium-binding and coiled-coil domain-containing protein 2 pseudogene
100755215	Pax2	paired box 2
100755216	Efnb1	ephrin B1
100755217	Prtg	protogenin
100755218	LOC100755218	60S ribosomal protein L7 pseudogene
100755219	LOC100755219	olfactory receptor 9K2
100755220	LOC100755220	keratin, type II cytoskeletal 8 pseudogene
100755221	Tpcn2	two pore segment channel 2
100755222	LOC100755222	keratin-associated protein 8-1
100755223	Mmel1	membrane metalloendopeptidase like 1
100755224	LOC100755224	mitochondrial inner membrane protease ATP23 homolog pseudogene
100755225	St14	suppression of tumorigenicity 14
100755226	Prkab1	protein kinase AMP-activated non-catalytic subunit beta 1
100755228	LOC100755228	immunity-related GTPase family M protein
100755229	Ercc8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
100755230	Prpf38a	pre-mRNA processing factor 38A
100755231	LOC100755231	uncharacterized LOC100755231
100755232	LOC100755232	small proline-rich protein 3
100755233	LOC100755233	type-1A angiotensin II receptor
100755234	Tldc2	TBC/LysM-associated domain containing 2
100755235	Dhx33	DEAH-box helicase 33
100755236	Ap1ar	adaptor related protein complex 1 associated regulatory protein
100755237	Ckap5	cytoskeleton associated protein 5
100755238	LOC100755238	sperm motility kinase-like
100755239	LOC100755239	espin
100755240	Kank4	KN motif and ankyrin repeat domains 4
100755241	LOC100755241	THO complex subunit 2
100755242	Fam167a	family with sequence similarity 167 member A
100755243	LOC100755243	olfactory receptor 1D2
100755244	Lgalsl	galectin like
100755245	LOC100755245	disintegrin and metalloproteinase domain-containing protein 5
100755246	Tiparp	TCDD inducible poly(ADP-ribose) polymerase
100755247	LOC100755247	PRAME family member 12
100755248	Ankrd34a	ankyrin repeat domain 34A
100755249	LOC100755249	thyroglobulin-like
100755250	Stard8	StAR related lipid transfer domain containing 8
100755252	Dtymk	deoxythymidylate kinase
100755253	LOC100755253	developmentally-regulated GTP-binding protein 1-like
100755254	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha
100755255	Ghsr	growth hormone secretagogue receptor
100755256	Ints10	integrator complex subunit 10
100755257	Ptp4a2	protein tyrosine phosphatase type IVA, member 2
100755258	LOC100755258	cytochrome P450 26C1
100755259	Ddost	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
100755260	Ap1g1	adaptor related protein complex 1 gamma 1 subunit
100755261	Usp44	ubiquitin specific peptidase 44
100755262	Slc9a3r2	SLC9A3 regulator 2
100755263	Slc17a2	solute carrier family 17 member 2
100755264	Bbs4	Bardet-Biedl syndrome 4
100755265	Etf1	eukaryotic translation termination factor 1
100755266	Artn	artemin
100755267	Cct3	chaperonin containing TCP1 subunit 3
100755269	LOC100755269	double homeobox protein 4C-like
100755270	Kif12	kinesin family member 12
100755272	Btg1	BTG anti-proliferation factor 1
100755273	Phb	prohibitin
100755274	Nipal2	NIPA like domain containing 2
100755275	Tmem41a	transmembrane protein 41A
100755276	Smpd3	sphingomyelin phosphodiesterase 3
100755277	LOC100755277	olfactory receptor 2A14
100755279	Col8a1	collagen type VIII alpha 1 chain
100755280	Lin52	lin-52 DREAM MuvB core complex component
100755281	LOC100755281	phosphoglycerate kinase 1 pseudogene
100755282	Ccnb3	cyclin B3
100755283	Dpcr1	diffuse panbronchiolitis critical region 1
100755284	LOC100755284	40S ribosomal protein S27-like
100755285	Med19	mediator complex subunit 19
100755286	LOC100755286	CD209 antigen-like protein 2
100755287	Znf76	zinc finger protein 76
100755288	Lypla1	lysophospholipase I
100755290	Ubxn10	UBX domain protein 10
100755291	LOC100755291	chromosome unknown open reading frame, human C9orf152
100755293	Fam46d	family with sequence similarity 46 member D
100755294	LOC100755294	protocadherin gamma-B5-like
100755295	Xpo5	exportin 5
100755296	Ankrd12	ankyrin repeat domain 12
100755297	LOC100755297	14-3-3 protein epsilon-like
100755298	LOC100755298	orphan sodium- and chloride-dependent neurotransmitter transporter NTT5
100755299	Ubxn1	UBX domain protein 1
100755300	Lipe	lipase E, hormone sensitive type
100755301	LOC100755301	protein FAM49B pseudogene
100755302	LOC100755302	40S ribosomal protein SA pseudogene
100755303	Tcirg1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3
100755304	LOC100755304	F-box-like/WD repeat-containing protein TBL1X
100755305	Syt3	synaptotagmin 3
100755306	Gga1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
100755307	Dnd1	DND microRNA-mediated repression inhibitor 1
100755308	Gcm1	glial cells missing homolog 1
100755309	Rps28	ribosomal protein S28
100755310	LOC100755310	C-type lectin domain family 4 member K-like
100755311	LOC100755311	LIM and senescent cell antigen-like-containing domain protein 2
100755312	LOC100755312	trace amine-associated receptor 7e
100755313	Ttc6	tetratricopeptide repeat domain 6
100755315	Pde5a	phosphodiesterase 5A
100755316	Mcam	melanoma cell adhesion molecule
100755317	Odaph	odontogenesis associated phosphoprotein
100755318	Lin54	lin-54 DREAM MuvB core complex component
100755319	Prrc2b	proline rich coiled-coil 2B
100755320	LOC100755320	olfactory receptor 4F15-like
100755321	Il15ra	interleukin 15 receptor subunit alpha
100755322	Aida	axin interactor, dorsalization associated
100755324	Btd	biotinidase
100755325	Lmln	leishmanolysin like peptidase
100755326	Wwc2	WW and C2 domain containing 2
100755327	LOC100755327	unconventional myosin-XV-like
100755328	Trip4	thyroid hormone receptor interactor 4
100755329	LOC100755329	olfactory receptor 52R1
100755330	Myo15a	myosin XVA
100755331	Spdya	speedy/RINGO cell cycle regulator family member A
100755332	Ubl3	ubiquitin like 3
100755333	LOC100755333	sperm motility kinase 2B
100755334	Cplx3	complexin 3
100755335	LOC100755335	arylamine N-acetyltransferase 1
100755336	LOC100755336	olfactory receptor 52K1
100755337	Kcnab3	potassium voltage-gated channel subfamily A regulatory beta subunit 3
100755338	LOC100755338	chromosome unknown open reading frame, human C1orf228
100755339	Fxn	frataxin
100755340	Ints12	integrator complex subunit 12
100755342	Zc3h6	zinc finger CCCH-type containing 6
100755343	LOC100755343	vomeronasal type-2 receptor 116-like
100755344	Wdr61	WD repeat domain 61
100755345	Rcn3	reticulocalbin 3
100755349	Rad50	RAD50 double strand break repair protein
100755352	Ap3b1	adaptor related protein complex 3 beta 1 subunit
100755353	Tmem202	transmembrane protein 202
100755355	Mrpl34	mitochondrial ribosomal protein L34
100755356	Med26	mediator complex subunit 26
100755357	LOC100755357	histone H4
100755359	Arhgap23	Rho GTPase activating protein 23
100755360	Leprotl1	leptin receptor overlapping transcript like 1
100755361	LOC100755361	dual specificity phosphatase 21
100755362	LOC100755362	olfactory receptor 2B6-like
100755363	LOC100755363	zinc finger protein 420
100755364	Igsf9	immunoglobulin superfamily member 9
100755365	Fbxl14	F-box and leucine rich repeat protein 14
100755366	Pcbp3	poly(rC) binding protein 3
100755367	LOC100755367	serine/threonine-protein kinase TBK1-like
100755368	Mal2	mal, T-cell differentiation protein 2
100755369	Ergic3	ERGIC and golgi 3
100755370	LOC100755370	alpha-defensin 3-like
100755371	Capn11	calpain 11
100755372	LOC100755372	60S ribosomal protein L7a pseudogene
100755373	LOC100755373	E3 ubiquitin-protein ligase Hakai-like
100755374	Nsmaf	neutral sphingomyelinase activation associated factor
100755375	Meaf6	MYST/Esa1 associated factor 6
100755376	Dusp15	dual specificity phosphatase 15
100755377	CUNH19orf24	chromosome unknown C19orf24 homolog
100755378	Acyp1	acylphosphatase 1
100755379	Msgn1	mesogenin 1
100755380	Dppa5	developmental pluripotency associated 5
100755381	Cmtr1	cap methyltransferase 1
100755382	Fhit	fragile histidine triad
100755383	Cdhr1	cadherin related family member 1
100755384	LOC100755384	cytochrome P450 4F4
100755385	Hmgcl	3-hydroxymethyl-3-methylglutaryl-CoA lyase
100755386	Uchl3	ubiquitin C-terminal hydrolase L3
100755388	Msantd4	Myb/SANT DNA binding domain containing 4 with coiled-coils
100755389	Scn10a	sodium voltage-gated channel alpha subunit 10
100755390	Izumo1r	IZUMO1 receptor, JUNO
100755391	Sgsh	N-sulfoglucosamine sulfohydrolase
100755392	Aanat	aralkylamine N-acetyltransferase
100755393	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1
100755394	Lce6a	late cornified envelope 6A
100755395	Dkc1	dyskerin pseudouridine synthase 1
100755397	Slc39a4	solute carrier family 39 member 4
100755398	Atp10d	ATPase phospholipid transporting 10D (putative)
100755399	LOC100755399	coiled-coil domain-containing protein 43 pseudogene
100755400	Leprot	leptin receptor overlapping transcript
100755401	Cep44	centrosomal protein 44
100755402	Ang	angiogenin
100755403	Ski	SKI proto-oncogene
100755404	Chchd7	coiled-coil-helix-coiled-coil-helix domain containing 7
100755405	LOC100755405	vomeronasal type-1 receptor 4
100755406	Ap2a2	adaptor related protein complex 2 alpha 2 subunit
100755407	T	T brachyury transcription factor
100755408	LOC100755408	40S ribosomal protein S16 pseudogene
100755409	Agfg2	ArfGAP with FG repeats 2
100755410	Gabre	gamma-aminobutyric acid type A receptor epsilon subunit
100755411	Znf646	zinc finger protein 646
100755414	LOC100755414	olfactory receptor 5B12-like
100755415	LOC100755415	E3 ubiquitin-protein ligase DTX3L
100755416	LOC100755416	olfactory receptor 10A4
100755417	Zgrf1	zinc finger GRF-type containing 1
100755418	LOC100755418	heat shock cognate 71 kDa protein pseudogene
100755419	Ca5a	carbonic anhydrase 5A
100755420	LOC100755420	uncharacterized LOC100755420
100755421	Mtor	mechanistic target of rapamycin kinase
100755422	LOC100755422	glyceraldehyde-3-phosphate dehydrogenase-like
100755423	LOC100755423	UDP-glucuronosyltransferase 1-6
100755424	Nrep	neuronal regeneration related protein
100755425	LOC100755425	zinc finger FYVE domain-containing protein 1 pseudogene
100755426	LOC100755426	keratin-associated protein 4-12-like
100755427	Mmp27	matrix metallopeptidase 27
100755428	LOC100755428	interferon-induced very large GTPase 1
100755429	LOC100755429	rab-like protein 2A
100755430	LOC100755430	nucleosome assembly protein 1-like 1 pseudogene
100755431	Slc37a2	solute carrier family 37 member 2
100755432	Gng3	G protein subunit gamma 3
100755434	LOC100755434	T-complex protein 1 subunit gamma pseudogene
100755435	LOC100755435	olfactory receptor 10AD1
100755436	Oxld1	oxidoreductase like domain containing 1
100755437	Ptrhd1	peptidyl-tRNA hydrolase domain containing 1
100755438	LOC100755438	ferritin light chain 1 pseudogene
100755439	Gpr153	G protein-coupled receptor 153
100755440	Fbxo3	F-box protein 3
100755441	Ankrd45	ankyrin repeat domain 45
100755442	Blnk	B-cell linker
100755444	LOC100755444	olfactory receptor 502
100755445	Zscan29	zinc finger and SCAN domain containing 29
100755447	LOC100755447	delta and Notch-like epidermal growth factor-related receptor
100755448	LOC100755448	olfactory receptor 2H2-like
100755449	LOC100755449	40S ribosomal protein S4, X isoform-like
100755450	LOC100755450	forkhead box protein P4 pseudogene
100755451	Rnpep	arginyl aminopeptidase
100755453	LOC100755453	uncharacterized LOC100755453
100755455	LOC100755455	ras-related protein Rab-3D
100755456	Fbxo34	F-box protein 34
100755457	LOC100755457	cytochrome c oxidase subunit 5A, mitochondrial pseudogene
100755458	Lrrc63	leucine rich repeat containing 63
100755459	Elk4	ELK4, ETS transcription factor
100755460	LOC100755460	taste receptor type 2 member 109-like
100755461	Pklr	pyruvate kinase L/R
100755462	LOC100755462	mast cell protease 8-like
100755463	LOC100755463	RIMS-binding protein 3
100755464	Chst10	carbohydrate sulfotransferase 10
100755465	LOC100755465	60S ribosomal protein L27a pseudogene
100755466	Mlec	malectin
100755467	Prr11	proline rich 11
100755468	Znf189	zinc finger protein 189
100755469	Rundc3a	RUN domain containing 3A
100755470	Rgp1	RGP1 homolog, RAB6A GEF complex partner 1
100755471	Omd	osteomodulin
100755472	LOC100755472	olfactory receptor 4C46-like
100755473	Cd3eap	CD3e molecule associated protein
100755474	Chd7	chromodomain helicase DNA binding protein 7
100755475	LOC100755475	cysteine-rich secretory protein 1-like
100755476	LOC100755476	murinoglobulin-1-like
100755477	LOC100755477	olfactory receptor 9G4
100755478	Kiaa0753	KIAA0753 ortholog
100755479	Il21	interleukin 21
100755480	Matr3	matrin 3
100755481	LOC100755481	HLA class I histocompatibility antigen, A-32 alpha chain
100755482	LOC100755482	olfactory receptor 7E24-like
100755483	LOC100755483	melanoma-associated antigen B2
100755484	LOC100755484	snRNA-activating protein complex subunit 2-like
100755485	Aldh18a1	aldehyde dehydrogenase 18 family member A1
100755486	Spink5	serine peptidase inhibitor, Kazal type 5
100755487	LOC100755487	U3 small nucleolar RNA-associated protein 15 homolog
100755489	Mtfp1	mitochondrial fission process 1
100755490	Itfg1	integrin alpha FG-GAP repeat containing 1
100755491	Mrps17	mitochondrial ribosomal protein S17
100755492	Sbf1	SET binding factor 1
100755493	Rbm47	RNA binding motif protein 47
100755494	LOC100755494	coiled-coil-helix-coiled-coil-helix domain-containing protein 2 pseudogene
100755495	Nlgn3	neuroligin 3
100755496	Flrt1	fibronectin leucine rich transmembrane protein 1
100755497	Kiaa1841	KIAA1841 ortholog
100755498	Rabepk	Rab9 effector protein with kelch motifs
100755499	Kcne3	potassium voltage-gated channel subfamily E regulatory subunit 3
100755500	Nfya	nuclear transcription factor Y subunit alpha
100755501	Polg	DNA polymerase gamma, catalytic subunit
100755502	LOC100755502	cyclin-dependent kinase 4 pseudogene
100755503	LOC100755503	retinal guanylyl cyclase 2
100755504	LOC100755504	60S acidic ribosomal protein P1-like
100755505	LOC100755505	ER membrane protein complex subunit 7-like
100755506	Tmem106c	transmembrane protein 106C
100755507	Nedd4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
100755508	Apool	apolipoprotein O like
100755509	LOC100755509	olfactory receptor 10A7
100755510	LOC100755510	60S ribosomal protein L9 pseudogene
100755511	LOC100755511	keratin-associated protein 7-1
100755513	Zic4	Zic family member 4
100755514	Fam213b	family with sequence similarity 213 member B
100755515	LOC100755515	peptidyl-prolyl cis-trans isomerase A
100755517	Cit	citron rho-interacting serine/threonine kinase
100755518	Col19a1	collagen type XIX alpha 1 chain
100755520	Ndufaf2	NADH:ubiquinone oxidoreductase complex assembly factor 2
100755521	Zcchc11	zinc finger CCHC-type containing 11
100755522	Chrm1	cholinergic receptor muscarinic 1
100755523	LOC100755523	small proline-rich protein 2E-like
100755524	Irf4	interferon regulatory factor 4
100755526	Derl2	derlin 2
100755527	Dtx4	deltex E3 ubiquitin ligase 4
100755528	Arfgap2	ADP ribosylation factor GTPase activating protein 2
100755530	Tnfrsf25	TNF receptor superfamily member 25
100755531	Zc3hc1	zinc finger C3HC-type containing 1
100755532	Patj	PATJ, crumbs cell polarity complex component
100755534	Blk	BLK proto-oncogene, Src family tyrosine kinase
100755535	Klhdc2	kelch domain containing 2
100755537	LOC100755537	disintegrin and metalloproteinase domain-containing protein 18
100755538	Kcnab1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
100755539	LOC100755539	E3 ubiquitin-protein ligase RNF216 pseudogene
100755541	Klhl10	kelch like family member 10
100755542	LOC100755542	olfactory receptor 2W1-like
100755543	Ing5	inhibitor of growth family member 5
100755544	Ptchd1	patched domain containing 1
100755545	Ptf1a	pancreas specific transcription factor, 1a
100755546	Fndc3b	fibronectin type III domain containing 3B
100755547	Rbm5	RNA binding motif protein 5
100755548	Csmd2	CUB and Sushi multiple domains 2
100755549	LOC100755549	cytochrome P450 26A1
100755550	Tsen15	tRNA splicing endonuclease subunit 15
100755551	Bud23	BUD23, rRNA methyltransferase and ribosome maturation factor
100755552	Metap2	methionyl aminopeptidase 2
100755553	Nthl1	nth like DNA glycosylase 1
100755554	Slc17a3	solute carrier family 17 member 3
100755555	Arih1	ariadne RBR E3 ubiquitin protein ligase 1
100755557	LOC100755557	40S ribosomal protein S29 pseudogene
100755558	Glmp	glycosylated lysosomal membrane protein
100755559	Gemin2	gem nuclear organelle associated protein 2
100755560	Rps21	ribosomal protein S21
100755561	LOC100755561	E3 ubiquitin-protein ligase TRAF7 pseudogene
100755562	Znf618	zinc finger protein 618
100755563	Tmem26	transmembrane protein 26
100755564	Il9	interleukin 9
100755565	Kera	keratocan
100755566	Ngfr	nerve growth factor receptor
100755567	Kcns2	potassium voltage-gated channel modifier subfamily S member 2
100755568	Igf2bp2	insulin like growth factor 2 mRNA binding protein 2
100755569	Esrp2	epithelial splicing regulatory protein 2
100755570	LOC100755570	olfactory receptor 2A2
100755571	LOC100755571	signal transducer and activator of transcription 5A
100755572	Filip1l	filamin A interacting protein 1 like
100755573	Pbk	PDZ binding kinase
100755574	LOC100755574	olfactory receptor 1052
100755575	Dgkk	diacylglycerol kinase kappa
100755576	Sfta2	surfactant associated 2
100755577	Ssh2	slingshot protein phosphatase 2
100755578	Zdhhc5	zinc finger DHHC-type containing 5
100755579	LOC100755579	CD209 antigen-like protein C
100755580	Anks1a	ankyrin repeat and sterile alpha motif domain containing 1A
100755581	Tcea1	transcription elongation factor A1
100755582	Ankrd29	ankyrin repeat domain 29
100755584	LOC100755584	60S ribosomal protein L23 pseudogene
100755585	LOC100755585	SH3 and cysteine-rich domain-containing protein 3
100755586	LOC100755586	charged multivesicular body protein 1b-2
100755587	LOC100755587	protocadherin gamma-A8
100755588	LOC100755588	GTP cyclohydrolase 1 feedback regulatory protein
100755589	LOC100755589	glyceraldehyde-3-phosphate dehydrogenase pseudogene
100755590	Tead2	TEA domain transcription factor 2
100755591	Lbhd1	LBH domain containing 1
100755592	Megf8	multiple EGF like domains 8
100755593	Xirp2	xin actin binding repeat containing 2
100755594	Yipf5	Yip1 domain family member 5
100755595	LOC100755595	hemK methyltransferase family member 2 pseudogene
100755596	LOC100755596	aldehyde dehydrogenase family 3 member B1
100755597	Claudin-18	claudin-34
100755598	Aspdh	aspartate dehydrogenase domain containing
100755599	Pdxp	pyridoxal phosphatase
100755600	Zmat2	zinc finger matrin-type 2
100755601	Tigd5	tigger transposable element derived 5
100755602	Ndufa7	NADH:ubiquinone oxidoreductase subunit A7
100755603	LOC100755603	alpha-enolase pseudogene
100755604	Polr2d	RNA polymerase II subunit D
100755605	LOC100755605	trace amine-associated receptor 9
100755607	LOC100755607	spindlin-2B
100755608	LOC100755608	chromosome unknown open reading frame, human C4orf3
100755609	Stat1	signal transducer and activator of transcription 1
100755610	Hpse	heparanase
100755611	Hey2	hes related family bHLH transcription factor with YRPW motif 2
100755612	LOC100755612	chromosome unknown open reading frame, human C14orf28
100755613	LOC100755613	olfactory receptor 4K3-like
100755615	LOC100755615	melanoma inhibitory activity protein 3
100755616	Frmd4b	FERM domain containing 4B
100755617	LOC100755617	nucleolar complex protein 3 homolog pseudogene
100755618	Osbpl11	oxysterol binding protein like 11
100755619	Cdkn2aip	CDKN2A interacting protein
100755620	Llgl2	LLGL2, scribble cell polarity complex component
100755621	Pclaf	PCNA clamp associated factor
100755622	Znf384	zinc finger protein 384
100755624	Alkbh5	alkB homolog 5, RNA demethylase
100755627	Lman1l	lectin, mannose binding 1 like
100755628	LOC100755628	3-hydroxyacyl-CoA dehydrogenase type-2 pseudogene
100755629	LOC100755629	olfactory receptor 56A4
100755630	Chd3	chromodomain helicase DNA binding protein 3
100755631	Tmem53	transmembrane protein 53
100755632	Pacrgl	parkin coregulated like
100755633	LOC100755633	rho guanine nucleotide exchange factor 38
100755634	LOC100755634	melanoma-associated antigen B4
100755635	Fbln7	fibulin 7
100755637	Fcgrt	Fc fragment of IgG receptor and transporter
100755638	LOC100755638	iron-sulfur cluster assembly 1 homolog, mitochondrial pseudogene
100755639	LOC100755639	inositol polyphosphate 1-phosphatase
100755640	Cxcr2	C-X-C motif chemokine receptor 2
100755641	LOC100755641	peptidyl-prolyl cis-trans isomerase D-like
100755642	Il4	interleukin 4
100755643	LOC100755643	carcinoembryonic antigen-related cell adhesion molecule 3-like
100755644	LOC100755644	dynein light chain 1, cytoplasmic
100755645	Celf6	CUGBP Elav-like family member 6
100755646	LOC100755646	uncharacterized LOC100755646
100755648	Cherp	calcium homeostasis endoplasmic reticulum protein
100755649	LOC100755649	non-histone chromosomal protein HMG-17 pseudogene
100755651	Cisd3	CDGSH iron sulfur domain 3
